Asana,Benefits
Prasarita padottanasana,"1) stretches, strengthens, lengthens: the intense stretch of the legs with the feet wide apart opens the hamstrings and quadriceps, thus increasing muscle strength and elasticity. Prasarita padottanasana helps keep the feet firm and grounded on the floor using the calf muscles and the flexing of the ankles. There is a close relationship between calf muscles and foot strength. The toning of the calf muscles gives better support for the feet, and the firm placing of the foot helps stretch the calf muscles while increasing flexibility after that.
2) flexibility and range of motion: all the muscles of the body- the shoulders, chest, abdomen, hips, back, and legs stretch in this pose, thereby increasing the range of motion for better flexibility. The primary stretch is at the legs, but the secondary stretch happens at the spine. Deep stretches of the inner tissues of the legs occur. The elongated spine creates sustainable space between the vertebrae. Due to this, the body flexibility is improved.
3) chest, diaphragm, and breath: this pose is an inverted yoga pose as the head comes below the heart. Going against gravity helps the deoxygenated blood go through your veins back to the heart. It reduces the effort by the venous system to pump blood back to the heart. This pose relaxes the heart by increasing the efficiency of the arterio-venous arcade in the body. The breath is rhythmic and at its natural pace. The heart is relaxed with the increased venous capacity, and the back of the lungs expands due to the upper body stretch.
4) awareness and focus (concentration): in this forward bend with compressing of the abdomen and the chest, breathing can be a challenge if there is no awareness. Hence, being aware of one’s breath with the stretching makes the practice more accessible. The alignment of the hips, foot and distance between the feet in the pose is a calculated move. The student must spread the leg according to their height. Such an alignment needs focus and body awareness. The practitioner has to figure out the tightness of their body, their body height, and then flow into the pose. Any kind of jerk is injurious. So the conscious knowledge of the body capacity with alignment increases concentration and awareness."
Yoganidrasana,"1) people who are physically and mentally exhausted (army men, wounded soldiers, etc.)
2) people who are emotionally depleted (addicts, chronically stressed & insomniacs, health care workers)
3) people who are tired of a passive lifestyle (traumatic disorders, psychological baggage, students in high stress studies)
4)people who are battling depression & anxiety (depression, anxiety, marriage & relationship issues)
5)people dealing with health issues & pain management (cancer patients, auto immune diseases)"
Ardha kapotasana,"1) a great benefit for athletes with the deep stretch at the leg muscles: in this simple pigeon pose with one leg stretched behind, the muscles open up at the legs giving athletes a great advantage in improving and strengthening the legs.
2) improves blood circulation: the flow of prana becomes easy in this pose, with the opening at the base of the spine. This stretch with proper breathing, not only improves the flow of prana, but ensure a good flow of blood along with oxygen within the entire body.
3) a great hip opener: most of us struggle with the non flexibility of our hips and all the muscles around it, but with the practice of this simple pigeon pose, it can be a great start with the opening of the hip, ensuring the alignment of the hips while practicing this pose is accurate.
4) a great pose for toning the hips and sides of the back: a repeated practice of this pose, tones the hips and the sides of the back, removing the excess fat with the gentle stretch of the abdomen and the lower back.
5) improves the flexibility of the spine: in this simple pigeon pose, the gentle stretch of the back taking the spine in a backbend, improves the flexibility slowly but surely. This pose acts as a preparatory pose to the complete kapotasana, which is an advance level pose."
Kukkutasana,"1) strengthens the entire body with the use of the muscles like; biceps and triceps, core muscles, gluteus, and pelvic floor muscles.
2) improves digestion and tones the abdominal muscles supporting the internal organs.
3) improves the core strength with proper practice of bandhas, mainly uddhiyana bandha, but done at an advanced level.
4) builds awareness of the body and breath, especially the central nervous system, which is essential to keep the body in good health.
5) encourages better stability, balance, concentration, and self-confidence.
6) helps in regulating and stimulating the adrenal gland, which is essential to keep the body healthy, happy, and also helps fight stress in the most natural way. And when stress is in control, both the body and mind remain calm and free."
Marichyasana,"1) activation of the adrenal glands and pancreas: the deep forward bend and clasping of hands gripping the thighs from behind, puts pressure on the lower abdomen while going forward with the torso. This pressure at the lower abdominal muscles helps the internal organs at the lower abdomen to function better. It helps especially with the secretion of various hormones by the activation of adrenal glands and the pancreas.
2) better functioning of the reproductive system: the pressure in marichyasana or the sage twist pose at the lower abdomen also involves the activation of the reproductive organs due to the pressure at the pelvic floor muscles. This activation further improves the blood circulation at the reproductive organs. This is important for women who want to strengthen the pelvic floor muscles for easy conception and delivery.
3) activation of the thyroid glands: in marichyasana, the placing of the chin on the knee, and the slight bend at the neck upwards, creates room for the extension of the neck and activates the thyroid gland to some extent. This gland controls the hormone levels within the body and creates a good balance for better living.
4) stronger base of the spine and sacrum: the grip of the thigh with interlocked wrists puts pressure at the hip in this pose. This pressure at the hip creates a sense of deep balance and ensures that the alignment of the hips and the base of the spine are perfect. This further strengthens the base of the spine and sacrum, and gives great support to the entire spine.
5) calms the nervous system & improves focus: all forward bends, including marichyasana, helps to rejuvenate the body while calming the mind. The practice of marichyasana, though it requires some flexibility at the lower back to go forward completely, brings the entire body and mind to rest, and calms the entire nervous system."
Virasana,"1) aids in digestion: this pose helps to relieve symptoms of gas and aids in digestion.
2) spine gets its maximum stretch: this pose improves the posture of the spine which works as an advantage for long hours of meditation or pranayama.
3) mental focus: as this pose improves the posture of the spine keeping the body upright and strong it helps in improving mental focus during pranayama and meditation.
4) cures rheumatic pains in the knees: this pose with the flexing of the knees and the hips help in therapeutically curing rheumatic pains in the knees.
5) curing flat feet: with the stretching of the ankles and the foot, proper arches will be formed thus curing flat feet.
6) flexibility of the ankles: here as the ankles gets its maximum stretch the flexibility of the foot around the ankles improves and any pain at the heels with long hours of standing brings great relaxation to the feet.
7) the circulation of blood improves for the entire leg"
Koundinyasana,"1) builds muscles strength at the arms, shoulders, chest, abdomen, core, hips, spine and hamstrings
2) works well in activating the internal organs while strengthening the abdominal muscles.
3) as this pose is dedicated to sage koundinya, the practitioner builds self confidence on his own body and mind.
4) brings awareness and connection to the body as the focus is more towards balance.
5) a great hip opener at an advance level.
6) a great pose to master for to help with meditation, as meditation requires focus and stability.
7) while working on the core muscles, this pose helps to keep a strong and flexible back.
8) works on the overall strength of the body, thus encouraging good blood flow while also activating the various systems and functions of the body."
Virabhadrasana,"1) awareness and focus: as virabhadrasana i is compared to a warrior, the practice of this pose, if done with perfect awareness, helps in building stability and stamina, and also helps to gain self-confidence.
2) alignment and posture: warrior pose i is an excellent pose to learn about the body in terms of knee and ankle alignment. How one keeps the back foot impacts the stability and ability of the pelvis to turn forward. The breath-led spine and arms lengthening upward movement are important for feeling stable in the posture. The knee and ankle joint can be protected by checking if the knee is pointing in the same direction as the second and third toes.
3) energizing, de-stressing, relaxing: with the deep stretch of the arms above your head in virabhadrasana i or warrior pose i, the shoulders and the neck get their equal share of stretch, reducing the stiffness. This reduction of stiffness also improves the energy levels of the body, thus making the body feel completely light.
4) stimulation and organs: with the muscles being activated, including the abdominal muscles, the digestive system and the reproductive system improve in their functions, thus reducing indigestion and problems related to the reproductive system.
5) therapeutic, healing and ailments: the expansion of the diaphragm improving the respiratory system helps with asthma patients. The flexing of the hips and the entire leg work from the base of the spine, creating a better movement of the nerve, including the sciatic nerve. The building of stamina and stability with awareness of the body brings in fresh energy to help reduce symptoms related to insomina."
Mandukasana,"1) tones the abdominal muscles: the pressing of the tummy towards the thighs and the pressure of the fist placed deep into the tummy area, creates the expansion and contraction of the muscles with breathing, thus working on also toning them.
2) tones the shoulder muscles: the expansion of the chest and the contraction of the abdominal muscles plays a great role in toning of the shoulders.
3) cures diabetes: the pressure on the abdominal muscles activates the pancreas, thus increasing the quantity of insulin production. And this can help in reducing or maintaining the sugar levels in the body.
4) tones the belly, thighs and hips: this pose, mandukasana iii helps in toning the extra belly fat along with the fat around the thighs and hips.
5) blood circulations improves around the heart and the chest: the expansion and contraction of the muscles around the chest with deep breathing while it is compressed towards the thighs, creates the flow of fresh blood thus improving in the circulation too."
"Simhasana
","1. Exercises facial muscles: the roaring of the lion pose (simhasana) provides a good exercise to the facial muscles. It therefore maintains the firmness and luster of the facial skin.
2. Soothes eyes: it is said that the practice of this posture brings smoothing effect to the eyes and helps in reducing eye strain.
3. Stronger voice: this yoga pose helps in voice-related difficulties, throat related problems, and is good for singers.
4. Rejuvenates face: this pose improves circulation of blood to the face.
5. Improves digestion: as the abdomen is pulled in, it aids in good digestion.
6. Improves carotid sinus nerves functioning: this posture with the mouth wide open, aids in better functioning of the carotid sinus nerve.
7. Improves thyroid and parathyroid glands: this pose also aids in the functioning of the thyroid and parathyroid glands.
8. Calms mind: this pose brings calmness to the mind by removing the stress through the roaring sound of the lion."
Sitali,"1. Sitali pranayama cools the body and is best done after the practice of daily yoga poses, bringing balance in the temperature of the body. Daily yoga
sitali pranayama helps to reduce the blood pressure in the body when done with guidance from a yoga teacher. Yoga for high blood pressure
2. As this breathing cools the body temperature, it controls the parasympathetic and somatic nervous system and hence beneficial for those suffering from anxiety related issues, including trauma. Trauma sensitive yoga
3. Helps in heart related diseases and can be practiced along with heart opening series of yoga poses for better results. Heart opening sequence
4. As it plays a great role in the endocrine system, it keeps the internal organs like stomach, liver, spleen etc, clean from toxins."
Murcha pranayama,"1. Swooning pranayama when done without too much emphasis on holding the internal breath longer for those who are new to this practice, can still gain from it. The conscious use of the intercostal muscles, chest, and rib cage encourages the lungs to work efficiently .
2.the body switches from a ‘reaction’ to a logical and rational ‘response’ in times of emotional stress, it helps one deal with negative emotions such as tension, anger in response to the mental pressure. For this reason, the swooning breath can be used in therapy yoga, for people suffering from anger management issues, and/or depression.
3."
Hamsasana,"1. In hamsasana the muscles of the arms, legs, hips, abdomen, and shoulders are engaged, especially the gluteus maximus and the biceps triceps. With repeated practice of engaging these various muscles, the flexibility is improved thereby also strengthening them. The wrists, forearms, shoulders, abdominal muscles, and core muscles are gain better strength and stability, preparing for challenging poses.
2. The pressure against the abdominal wall from the elbows along with the weight of the body, puts pressure in this cavity. This causes one to contract the abdominal muscles and strengthen them, stimulating the organs, especially the stomach. "
Katichakrasana,"Katichakrasana is good for relieving constipation as this yoga strengthens and improves the flexibility of the spine and waist. Good for arm and leg muscles and also opens up the neck, shoulders thereby strengthens the abdominal muscles.

"
Vayu nishkasana,"Provides a positive effect on the nerves and muscles of the thighs, knees, shoulders, arms and neck.
the pelvic organs and muscles are massaged.
provides equal stretch to the whole spine and bot the arm and leg muscles.
all the vertebrae and joints are pulled away from each other so that the pressure between them is balanced.
all the spinal nerves are stretched and toned.
useful for relieving flatulence."
Gorakshasana,"1. In gorakshasana, as the body is entirely balanced on the knees, the posture is all about maintaining the integrity of the body. Keeping the spine and thighs straight with the folded feet this asana provides a sense of balance.
2. Goraksasana provides flexibility to leg muscles by stretching them intensely. It also improves the elasticity and strength of the leg joints. It provides toned and stronger legs.
3. This asana tones the reproductive organs and improves their functioning. This activates the sexual organs and maintains sexual health.
3. Gorakshasana exercises the abdominal organs by improving the blood flow to the lower abdomen. This benefits the digestive organs. It has therapeutic action against irritable bowel syndrome (ibs), and gastritis."
Pasasana ,"1. The dynamic range of movements of the involved joints and muscles in the noose pose are gradually improved with repeated practice and when the pose is held longer. 
"
Kakimudra,"1) in kaki mudra, the lips are pursed to resemble the beak of a crow. The inhaled air stimulates the wall of the mouth and pharynx. This activates the digestive secretions.
2) kaki mudra cools the body.
3) this mudra gives the benefits of nasikagra dhristi as well because the attention is held on the tip of the nose.
4) it eliminates many illnesses and keeps the body healthy.
5) this mudra is good for the skin and reduces wrinkles on the face.
6) the ancient yogis created this mudra after observing the crows. The crow lives for long number of years with good health. This mudra enhances health as well as longevity."
Kumbhakasana,"1) kumbhakasana strengthens the shoulders and arms.
2) it strengthens the muscles along the spine.
3) it tightens the abdominal muscles.
4) it helps to build stamina and endurance"
Makarasan,This asana can be done as a relaxation pose between other asanas or it can be relaxation method when you are tired. You can be in this asana for a prolonged period of time if you are tired after a workout. It gives deep relaxation to the shoulders and the spine.
Malasana,"1) malasana helps to open up the hips joint and groin muscles.
2) it mildly stretches the lower hamstring muscles around the ankles.
3) malasana stretches the muscles of the back and neck.
4) it tones the organs in the abdomen thereby improving digestion and metabolism.
5) malasana can be practiced by women during their initial and middle stages of pregnancy. It opens up the pelvis and aids healthy natural child birth. But, avoid doing it during the late stages of pregnancy as it may trigger labor pain."
Marjariasan,"1) marjariasana loosens up the spine and make it flexible. It gets rid of stiffness in the back muscles.
2) it is good for those suffering from spondylitis and slipped disk.
marjariasana also has an indirect effect on the organs of the lower abdomen, including the digestive system, intestines and the reproductive organs. It gives a good massage and stretch to these organs."
Matsya kridasana,"1) this is an excellent relaxation pose. It can be used for sleeping as well.
2) it stretches the abdominal region and relieves constipation.
3) matsya kridasana gives a gentle pull at the waist and helps to reduce waistline fat.
4) it relaxes the lower back and helps in relieving sciatic pain."
Padahastasana,"1) padahastasana makes the body very flexible. It stretches the back and leg muscles.
2) it helps to eliminate excess belly fat.
3) it improves digestion and reduces constipation. It eliminates many stomach ailments.
4) it makes the spine flexible and tones the nerves."
Padangusthasana,"1) padangusthasana gives a good stretch to the hamstring muscles.
2) it stretches the back muscles, the calf and the leg muscles.
3) it tones the organs in the abdomen and improves digestion.
4) it relaxes the body and mind.
5) the stretch is good for the organs like liver and kidneys."
Parivritta parsvakonasana,"1) it gives a good stretch to the torso, neck, shoulders and hips.
2) it strengthens the muscles of the hips, legs, arms, shoulders and chest.
3) it gives a good twist for the spine and helps to make it flexible over a period of time.
4) it tones the organs in the abdomen
5) it improves digestion and relieves constipation.
6) it is an excellent pose for improving stability and balance."
Pincha mayurasana,"1) pincha mayurasana strengthens the arms and shoulders.
2) it creates a good sense of balance.
3) it stretches the muscles of the back, shoulders and abdomen.
4) pincha mayurasana can calm down the mind and release stress.
4) it gives all the benefits of inverted asanas."
Pranamasana,"1) pranamasana is used as the most common form of greeting in india and many eastern countries.
2) it forms the first and last asana of the surya namaskara series of poses.
3) it creates a sense of relaxation and concentration for beginning the surya namaskara poses."
Shasankasana,"1) this asana relaxes the mind and relieves depression.
2) it tones the pelvic muscles and relieves sciatic pain.
3) it can help in sexual disorders.
4) it gives a good relaxing stretch to the upper body."
Supta udarakarshanasan,"1) supta udarakarshanasana gives a good twist to the spine and is a good exercise for flexibility of the spine.
2) it tones the organs in the abdomen and improves the functioning of all abdominal organs.
3) it improves digestion.
4) supta udarakarshanasana can relieve constipation.
it is good for releasing mental and physical stress."
Swastikasana,"1) swatikasana is a good meditation pose for those who find it difficult to sit in more classical poses like padmasana and siddhasana.
2) even those suffering from varicose veins and aching leg muscles can sit in swastikasana."
Tolungulasana,"1) tolangulasana can remove obesity and hence a good asana for weight loss.
2) it tones the organs in the abdomen including liver.
3) it broadens the chest and strengthens the arms, shoulders and neck muscles.
4) olangulasana gives a sense of relaxation."
Utkata konasana,"1) utkata konasana strengthens the hips, the lower back and the thigh muscles
2) it widens the uterus before pregnancy and helps during pregnancy.
3) utkata konasana helps to broaden the chest and correct postural defects.
4) this asana massages the organs in the abdomen, particularly the kidneys, the ovaries, urinary system and the prostate gland.
5) utkata konasana enhances the functioning of organs in the thorax and improves respiration.
6) it energizes the body, relieves stress and gives a general sense of well-being.
7) it can relieve menstrual pain and cramps."
Utthan prishthasana,"1) utthan pristhasana is a good hip opener.
2) it strengthens the thigh muscles of the front leg.
3) it stretches the groins and the hip flexors.
4) opens the chest and neck."
Vasisthasana,"1. He practice of vasisthasana (side plank pose) is mainly done to improve the strength of the arms and shoulders, while also teaching the students to engage the scapula (shoulder blades) since this is essential for all arm balance yoga poses. While strengthening the arms, they also get toned.
2. Every arm balance pose requires greater understanding of using the abdominal muscles by engaging the entire core muscles. Thus, with this practice of side arm balance, students will improve in their core strength while learning to focus on using the abdominal area effici"
Vipareet karni asana,"1. Viparita karani increases the blood flow to the brain so effective in the treatment of cerebral insufficiency and senile dementia.
2. Cures hemorrhoids, varicose veins, and a certain type of hernia.
3. In hatha yoga pradipika (3.82), it’s said; “after six months of practice, grey hairs and wrinkles become inconspicuous. One who practices viparita karani for three hours conquers death.”
4. However, modern teachers also suggest viparita karani can be practiced to overcome premenstrual syndrome, menopause, menstrual cramps [efn_note] a single case study on menstrual disorder and with yoga therapy
5. The pressure exerted around throat muscles in this mudra stimulates the thyroid gland. It rebalances the functions of hypoactive thyroid."
Vrishchikasana,"1. It is a an inverted pose. Here the head is located below the heart which increases the blood flow to the brain.
2. Its practice is beneficial in the problem related to the neck, by practicing vrischikasana, the risk of spondylitis can be reduced.
3. The chest is also extended while fully holding the pose. It helps in expansion of the lungs and improves the efficiency of oxygen intake.
4. Scorpion pose stretches and tones the abdominal muscles. It strengthens core muscles and promotes stamina.
5. Regular practice of vrischikasana helps in activating and balancing the crown (sahasrara) chakra, third eye (ajna) chakra, throat (vishuddha) chakra and heart (anahata) chakra.
"
Mudrasana,"1. Stimulates and energizes: the forward bend in a bound is said to stimulate the internal organs especially the stomach and intestine. It also energises the body with the deep stretch of the muscles around the spine and the chest. Hence this practice is good for improving digestion and to boost energy in the body.
2. Grounding and calmness: though the practice of this pose is challenging, yet when done with practice helps to keep the body and mind grounded that further help in keeping mind calm.
3. Manipura chakra and balance: done the right way the practice of psychic union pose activates and stimulates the manipura chakra that governs the pranic energy in the body. When this energy is used efficiently there is said to be balance in the body keeping one healthy.
4. Anxiety and depression: since the practice of yoga mudrasana (psychic union pose) calm the body with the deep breathing and deep stretch of the back muscles and chest, it is also said to help in keeping the anxiety levels down and controlling the symptoms of depression."
Ashta chandrasana,"1. Overall flexibility of the body improves: with the deep stretch of the entire body there is a progress towards a flexible body which in turn helps in practicing of various other advance level poses.
2. Reduces the stiffness around the shoulders and neck: with the deep stretch of the arms above your head in this pose, helps the shoulders and the neck get their equal share of stretch thus reducing any stiffness. This reduction of stiffness also improves the energy levels of the body, thus making the body feel completely light and making them strong for the practice of next level poses.
3. Improves the joints while flexing them: the flexing of the knees, ankles, hips, shoulders, elbow, entire spine and neck helps to keep them strong while the muscles around these joints become strong with contraction while in ashta chandrasana.
4. Tones the entire body with the deep stretch: the expansion and extension of the thighs, hips, shoulders, arms and neck in this pose, works on burning the excess fat and keeps these muscles toned while adding a great toned look to the body."
Bhujapidasana,"1. It helps to improve the overall sense of balance for the individual.
2. It helps to strengthen the arms, upper body, shoulders and the wrists.
3. It helps to tone the abdomen and make it strong and healthy.
4. This pose also helps to nourish the thyroid gland that performs the function of controlling the heart rate, balancing the nervous system and the digestive system and it also helps to regulate the metabolism of the body.
5. It is also very beneficial in increasing the circulation to the abdomen and the legs and also helps in massaging the abdominal organs besides relieving stress.
6. It helps one to relieve the mental and emotional stress and also headaches by improving the blood flow in the body.
7. This is a great stress buster and relaxing like any other yoga poses."
Garudasana,"1. The hamstring muscles, the quadriceps, calves and the shoulders are stretched. This stretch brings flexibility and strengthens the calves and the ankles.
2. Balance : this pose improves the balance of the body and enhances concentration. It works from the core and hence the core strength is kept in mind here.
3. Stretches : this yoga pose stretches the hips, thighs, shoulders and the upper back.
4. Joints : this pose opens all the joints in the body; the shoulders, the elbows, the wrists, the hips, the knees, and the ankles.
5. Toxins : since this asana is a twist, the pose detoxifies your body. It flushes out your kidneys, circulates blood to your reproductive system.
6. Runners : this yoga pose is considered wonderful and useful for runners. The joints filled with fresh blood acts like a great support for running and the       
7. Stretching of the legs brings more strength and stamina in the legs."
Kapotasan,"1. Sleeping swan pose massages the abdominal organs, the digestive tract, and improves the blood and the pranic flow to the spine and to the reproductive system. Similarly, the pressure received at the abdominal area, and the gropin area stimulates the spleen and stomach, kidneys and bladder respectively. Hence, promotes good digestion and enhances the function of the reproductive organs.
2. Sleeping swan pose is a great restorative practice for pregnant women to relieve the tired and tight hips and lower back.
3. Sleeping swan pose stretches and lengthens the muscles surrounding the hips, legs, neck, back, knees, ankle joint, opens arms and shoulders. This hip opening pose with a forward bend engages the hip flexors, glutes, pelvic floor muscles, psoas muscles, lower back, quadriceps, and hamstrings, making it an overall practice to strengthen the mentioned areas, thus, giving a deep opening to the entire lower body, especially the hips and groin."
Muktasana,"1. His easy leads you to attain salvation. Doing this in the right heart and right way, it leads you to attain supernatural abilities.
2. This asana is the best posture for meditation and also plays a big role in concentrating your mind.
3. Liberation pose is a very good posture for beginners as it is very easy to do asanas and can be done easily, it does not require much care to do it. Liberation pose is a very good posture to meditate on.
     with regular practice of this asana, kumbhak starts easily.
4. This pose stimulates the first chakra, the muladhara. Muladhara stimulates sexual energy as well as the reproductive organs.
5. Eliminates sexual diseases and semen is protects.
6. By doing muktasana, thoughts become pure and the mind concentrates. The practice of muktasana purifies all the nerves of the body, consequently, it becomes easier to concentrate the mind.
7. It speeds up your gastrointestinal tract, aids in regulating digestion."
Parshvakonasana,"1. Parsvakonasana benefits, to treat stomach-related problems like constipation. 

2.  its benefits you back and help to treat back pain problem. 

3.  parsvakonasana benefits to strengthen your ankles, legs and knees. 

4.  parsvakonasana benefits your hamstring muscles by giving a good stretch. 

5.  parsvakonasana benefits your abdominal muscles and helps to tone those muscles"
Prasarita padottasana,"1. Firstly, this inverted yoga posture will reduce depression and boost your confidence level.
2. Secondly, the nervous system is rejuvenated by this posture and the heart and lungs are electrified. People suffering from blood pressure problems will find this yoga exercise very beneficial as it will effectively reduce the blood sugar levels.
3. The prasarita padottanasana also harmonizes the abdominal muscles and also relieves headaches caused due to excessive stress.
4. Since there is a lot stretching associated with this yoga exercise, the wide-legged forward bend yoga posture will successfully reduce lower back pain."
Samakonasana,"1. Practicing challenging hip opening sequence like samakonasana (center splits pose), helps to release tensions accumulated at the hips and psoas muscles. Reducing and releasing these tensions makes for a stronger body that encourages self confidence and teaches self control. When the body along with the breathing process supports students in samakonasana practice, it gives a sense of joy. 
2. Strong and flexible muscles of the lower body benefits by giving support to the spine and upper body. With an overall flexible body, challenging yoga poses can be mastered with ease. The stretching of the hips while opening them is the most challenging part of a yoga practice and working on the same helps to establish a balanced body."
Tittibhasana,"1. Tittibhasana (firefly pose) makes your wrist stronger along with improves the strength of the arms.
2. It tightens and tones the area of the belly.
3. Stretches your back torso, inner groins, and hamstrings.
4. The yoga pose also helps in bringing an overall sense of balance and improves core strength.
5. Firefly pose gives the back torso and inner groins a good stretch.
6. Tittibhasana good for your mind.
7. Improves digestion."
Supta trivikramasana,"1. Supine splits pose is believed to activate the svadisthana (sacral) chakras. Svadisthana is associates with creativity, sexuality, joy, and pleasure also.
2. This asana also stimulated the muladhara (root) chakras. Muladhara offers a sense of security and safety.
3. Due to stretch in all the parts of the body, there is never an accident in the body and the body remains flexible.
4. By doing this asana, all the muscles of your legs become very strong.
5. The lower abdominal muscles and inner thigh muscles are stronger and improve digestion.
6. Doing it reduces all menopausal and menstrual disorders."
Tulasana,"1. Tulasana strengthens your arms, wrists and upper body region.
2. Makes your shoulders strong.
3. It relaxes the muscles and calms the mind.
4. Increases the sense of balance.
5. Includes tightening of the abs and subsequently, brings about a rigid stomach.
6. The muscles of your midriff (abdomen) are pulled up tight and thus, your lungs show signs of improvement supply of oxygen as you inhale profoundly.
7. While fortifying your abs, it likewise gives an interior incitement to the internal organs.
8. In totality, tolasana enhances the feeling of equalization of your body and has a quieting impact on your entire personality and framework.
9. In tolasana, you have to utilize your eyes for centered consideration. This evacuates basic imperfections of your eyes."
Upavistha titli asana,"1. Titli asana is the best exercise for relaxing and stretching the aching thighs.
2. Butterfly pose helps to open up the hips and thighs and improves flexibility.
3. Titli asana is a nice stretch for relieving stress and tiredness.
4. It stimulates the reproductive and digestive organs.
5. Helpful for girls throughout menstruation because it helps to alleviate a number of the discomfort and pain related to menstruating.
6. Very useful for girls after menopause.
7. Butterfly pose is good for pregnant ladies.
8. Useful to the kidneys, bladder, endocrine gland, and ovaries.
9. Regular practice of this posture will facilitate in easing the pain related to natural childbirth."
Uttana shishoasana,"1. This pose also increases the elasticity of the hips and hamstring muscles. Stretching the upper and lower body simultaneously, uttana shishosana is beneficial in improving overall posture.

2. Activates abdominal muscles
the core muscles are also stimulated while stretching the lower back. The abdomen remains pulled in and it massages the abdominal muscles leading to their activation.

3. Improves blood circulation
uttana shishosana is considered as a heart-opener because the chest expands while stretching the shoulders and back. With the inhalation, the heart lifts up and on exhalation, it melts to the floor."
Agnistambhasana,"1.stretches and opens the muscles around the hips. Hip opening yoga sequence
2. Stretches and strengthens the groin and gluteus.
3. Improves the flexibility of the knees, with deep stretches.
4. Agnistambhasana (fire log pose) is a good pose to avoid arthritis. Yoga for arthritis in knees
5. As agnistambhasana (fire log pose) stretches the quadriceps and the hamstrings, it is a good cure for irritable leg syndrome, while also toning the thighs and calves.
6. Agnistambhasana is said to activate the muladhara chakra (root). Yoga for muladhara chakra
7. Brings a sense of power with endurance and self confidence. Power yoga for weight loss"
Mrigi mudra,"1. This mudra stretches the finer soft muscles, tendons, and ligaments of the wrist and palms.
2. Vishnu mudra facilitates body balance and body equilibrium. The balance between the right (pingala) and the left (ida) nostril is essential for good health and well-being. When the right and left brain get equal prana, there is a sense of stability and harmony.
3. This mudra stimulates the lungs and heart functioning. When the fingers are aligned in vishnu mudra, it stimulates the ulnar nerve in the wrists. The ulnar nerve transmits signals to muscles in the forearm and hand. It is also responsible for sensation in the fourth and fifth fingers (ring and little fingers) of the hand and underside of the forearm. It is involved in carrying sensations from the hand and fingers up to the spinal cord. This nerve also controls the movement of several muscles in the arm and hand.
4. The ulnar artery that supplies blood to the hand helps the doctors check the heart's pulse rate. Pulse/heart rate is the wave of blood in the artery created by the left ventricle during a cardiac cycle. The strength or amplitude of the pulse reflects the amount of blood ejected with myocardial contraction. The normal pulse rate range is 60-100 beats per minute. This mudra helps in the efficient blood circulation to the arms and nurtures the ulnar and radial arteries.
5. Vishnu mudra facilitates deep and conscious breathing. It is a purification gesture. Adding breath retention in pranayama with vishnu mudra purifies the breathing."
Abhaya hridiya mudra,"1. Practicing this mudra activates the heart chakra which enables a sense of vitality and calm in its practitioners. Not only this, it can support in healing past trauma and balance strong emotions and discover our inner strength to follow our heart. The calm state of mind thereby helps in grounding the scattered feelings and thoughts and brings clarity from which clear decisions can be made.
2. Regular practice of this mudra can help in improving the circulation in the heart. From an energetic point of view, it allows heat to descend from the head through the chest down into the belly, thus regulating the healthy function of all the internal organs including heart, lungs and abdominal organs."
Viparita shalabhasana,"1. Stretches and strengthens the muscles of the chest, shoulders, arms, legs, abdomen and the lower back
2. Tones the abdomen and lower back
3. Massages the spine and keeps the back supple
4. Helps stretch the chest
5. Improves blood circulation
6. Also works at the mind level – when you take off, you can't but stay in the present moment. Even if you want to, you can't think about any problem!
7. Can be a good workout for the abs and stomach"
Gandha bherudasana,"1. Stretches and strengthens the wrists at a higher level.
stretches and strengthens the upper arm muscles like biceps and triceps.
tones the upper arm muscles at a higher level.
2. Stretches and strengthens the neck muscles like the trapezius.
improves the range of motion of the neck muscles, gaining flexibility.
works on the thyroid glands improving its functions.
3. Stretches and strengthens the upper, middle and lower back muscles.
improves the flexibility of the various back muscles
4. Opens and expands the chest cavity, along with the diaphragm muscles.
keeps the leg muscles strong and well toned."
Karandavasana,"1. Strength: the practice of karandavasana (himalayan duck) requires the strength of the shoulders, arms, neck, core, and hips. Thus, with repeated practice the above mentioned body parts get strong.
2. Flexibility: flexing the hips, neck, shoulders, forearms and knees are essential while in karandavasana (himalayan duck). Hence, with practice, these get stronger and flexible preparing for more challenging poses like devaduuta panna asana (fallen angel pose).
3. Power and endurance: a strong physical and mental power is what takes students to go deeper with advanced poses, just like in himalayan duck. The physical power of the shoulders and arms, the core muscles, and the hips, are essential for this pose. For example: to stay in balance after partially bringing the hips down, engaging the core muscles to support the hips and the lower back, engaging the shoulders and arms to support the hips to stay in balance, etc. On the other hand, the power of the mind to coordinate the breathing process, to bring focus and awareness while in balance, and to understand the body movements in order to avoid injury. Therefore, with gradual improvement with karandavasana (himalayan duck), the practice will move more towards the mental power after having achieved the physical power.
4. Focus and coordination: apart from the physical movements of the hips, knees, and feet and ankles, the breathing process plays a great role to help coordinate the smooth flow of the body movements. Thus, focus and coordinations of both the physical body and the breathing process are essential and improves with practice.
some of the other benefits derived with the practice of karandavasana (himalayan duck) are almost similar to vrschikasana (scorpion pose)."
Moordhasana,"This asana brings a rich supply of blood to the brain.
it is a preliminary pose for sirshasana, as it enables the brain to adapt to the influx of blood while the crown become accustomed to
supporting the weight of the body."
